"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",9220.01,,,0.74,1.76,8.26,0.40,0.76%,-0.83,347.00%,24.80%,5.50%,-8.30%,-336.20%,12451.00,179.00,175.35,3.94%,19.00%,1.80,18.00%,13.70%,7.70%,10.22%,-10.93%,15.99%,-46.23%,52.74,-1.71%
2,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1275.07,47.40,,,1.32,,,,0.21,,,,,-40.90%,,125.00,100.00,0.02%,2.80%,0.10,,,,3.24%,4.30%,1.19%,0.00%,10.19,0.20%
3,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",206.22,,,,1.44,,,,-0.17,-714.40%,,,,130.00%,,20.71,15.16,0.09%,-2.40%,0.10,,,,4.26%,,1.48%,-15.82%,10.27,1.08%
4,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",307.11,,,27.92,1.58,,,,-2.98,-712.40%,-1.30%,,,92.60%,11.00,21.27,20.64,5.02%,-46.50%,10.60,89.90%,,,-11.20%,-30.35%,-2.34%,-40.76%,12.53,0.00%
5,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.98,4.06%,,,,,,,,,,,,,,,,-3.81%,-23.75%,2.05%,-24.75%,48.74,-1.80%
6,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",11182.48,515.76,32.06,0.23,,4.45,,,0.03,83.10%,-21.70%,-5.70%,50.10%,173.50%,48972.00,650.59,641.48,13.95%,45.70%,0.80,57.90%,-6.60%,-7.60%,14.54%,0.35%,33.81%,-20.54%,17.02,-0.23%
7,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",463.64,30.69,,0.22,0.68,9.80,0.45,2.91%,0.50,141.50%,10.00%,-1.10%,31.20%,-168.90%,2104.70,30.88,29.81,6.56%,2.30%,,54.80%,1.10%,0.80%,15.97%,-26.05%,29.46%,-34.53%,15.47,-1.53%
8,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",4262.76,64.32,5.36,5.53,8.20,,0.48,0.59%,1.26,-26.60%,1.80%,6.80%,75.00%,75.00%,770.50,53.19,42.27,1.44%,13.80%,2.40,24.10%,11.10%,8.80%,29.33%,30.44%,7.25%,-2.67%,80.78,1.06%
9,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,,,,,0.51,2.00%,,,,,,,,,,,,,,,,,,-16.08%,-19.69%,25.37,-2.35%
10,"AAPU","Direxion Daily AAPL Bull 1.5X Shares","Financial","Exchange Traded Fund","USA",,,,,,,0.48,2.26%,,,,,,,,,,,,,,,,,,28.53%,-22.35%,21.40,3.48%
11,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1718.38,41.27,13.76,4.11,1.41,,1.28,4.43%,0.70,2.30%,-8.00%,5.00%,12.90%,27.10%,418.40,60.04,59.85,1.61%,3.40%,,64.40%,27.10%,10.00%,-0.17%,-19.55%,9.02%,-26.11%,28.89,-2.60%
12,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.99,1.42%,,,,,,,,,,,,,,,,2.92%,-14.11%,8.41%,-15.92%,70.24,-1.82%
13,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",3981.36,11.59,,10.83,2.52,,4.43,11.28%,3.39,34.40%,11.80%,11.70%,-33.40%,-37.20%,367.70,100.47,96.18,0.56%,21.50%,,,100.00%,91.30%,-12.99%,-17.43%,14.23%,-23.10%,39.26,-0.73%
14,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3505.07,10.07,1.26,4.39,1.11,4.63,0.60,1.20%,4.98,43.20%,21.10%,24.10%,35.40%,14.00%,798.60,69.12,65.65,2.36%,11.00%,,,87.60%,42.00%,6.99%,2.10%,6.45%,-7.49%,50.18,0.78%
15,"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology","Canada",3127.27,13.99,1.40,5.18,2.55,19.32,,,0.80,9.30%,,,1740.60%,210.00%,603.20,285.32,203.83,9.65%,21.20%,9.90,,55.70%,41.20%,-1.32%,20.47%,10.37%,-25.32%,11.18,1.54%
16,"ABCM","Abcam plc","Healthcare","Biotechnology","United Kingdom",3138.70,401.35,1029.11,7.22,3.76,72.15,,,0.04,27.40%,,,52.10%,138.80%,434.70,229.27,229.25,0.27%,1.00%,1.30,72.70%,1.60%,1.90%,-4.32%,-18.63%,-4.56%,-23.41%,14.85,-2.50%
17,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.33,1.17%,,,,,,,,,,,,,,,,5.68%,-0.85%,2.07%,-8.38%,28.40,-1.14%
18,"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies","USA",195.89,,,,1.34,,,,-0.01,,,,,361.20%,,19.33,15.06,0.05%,0.00%,0.80,,,,3.57%,4.37%,0.59%,-2.59%,10.15,0.00%
19,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",3154.74,14.08,5.06,0.40,1.86,,0.88,1.83%,3.41,83.80%,20.60%,7.40%,18.60%,45.90%,7806.50,66.50,65.41,2.57%,13.70%,1.20,13.40%,4.50%,3.00%,7.31%,14.80%,8.08%,-11.09%,48.01,0.15%
20,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",2587.24,9.30,1.16,2.54,1.19,3.55,1.60,10.45%,1.65,66.70%,20.00%,30.20%,51.10%,-32.90%,1020.10,170.23,167.69,4.23%,14.80%,,59.00%,36.90%,29.70%,-1.98%,-11.71%,16.07%,-15.37%,15.31,-0.20%
21,"ABST","Absolute Software Corporation","Technology","Software - Application","Canada",832.70,,,3.02,,15.45,0.32,2.70%,-0.69,-750.10%,-30.90%,16.70%,22.70%,-21.10%,275.90,51.42,35.43,3.70%,-490.90%,0.70,81.40%,-3.90%,-12.70%,21.17%,48.87%,13.51%,-5.84%,11.85,-0.92%
22,"AC","Associated Capital Group, Inc.","Financial","Capital Markets","USA",796.05,,,36.68,0.93,,0.20,0.54%,-2.41,207.80%,45.80%,-7.70%,23.80%,,21.70,22.01,2.99,0.58%,-5.90%,,,-49.60%,,-11.13%,-13.35%,-11.74%,-18.57%,37.06,-4.01%
