"No.","Ticker","Company","Sector","Industry","Index","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","Shares Outstanding","Shares Float","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","Relative Volume","Volume","Price","Change"
1,"AA","Alcoa Corporation","Basic Materials","Aluminum","-",6128.55,,8.84,,0.52,1.28,5.39,95.76,26.35,6.26,0.40,1.19%,,-4.73,-130.10%,1.30%,-18.90%,-152.00%,11828.00,-823.00,178.00,175.35,4.64%,1.73,8.13,-5.50%,-15.80%,0.40%,1.80,0.39,0.39,11.80%,-1.60%,-7.00%,-29.87%,-30.55%,-44.72%,-25.91%,-6.26%,-12.14%,-24.36%,-50.10%,1.25,5874708,33.69,-0.30%
2,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","-",754.89,,,,,2.56,7548.87,,4.09,0.00,,,0.00%,-0.07,32.40%,,,-176.90%,,-6.40,98.50,46.16,0.02%,0.07,0.01,-0.70%,-0.80%,,0.00,0.00,0.01,,,,2.35%,4.70%,6.84%,3.97%,0.40%,0.92%,3.41%,-0.29%,0.17,28713,10.47,0.00%
3,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","-",210.83,,,,,,1054.17,,-0.74,0.01,,,,-0.05,-714.40%,,,,,-1.00,9.19,3.64,0.04%,0.21,0.00,,,,0.00,,,,,,0.39%,2.93%,,0.79%,0.42%,0.68%,2.21%,-16.39%,0.01,100,10.20,-0.49%
4,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.98,4.20%,,,,,,,,,,,,,,,,,,,,,,,-2.84%,-4.16%,-15.62%,-1.33%,-0.29%,-0.63%,-2.12%,-17.64%,0.33,674,47.12,1.35%
5,"AAL","American Airlines Group Inc.","Industrials","Airlines","S&P 500",9514.05,5.43,4.54,,0.18,,0.83,,-8.85,17.33,,,0.00%,2.64,106.30%,2.80%,37.00%,100.60%,52261.00,1772.00,652.00,642.23,9.68%,2.54,62.19,,,5.20%,0.70,,,59.10%,,,-8.19%,-0.49%,-11.04%,12.81%,1.19%,3.25%,0.52%,-21.24%,0.70,17055616,14.35,-0.21%
6,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","-",401.87,,8.73,,0.17,0.55,9.07,4.71,22.86,1.39,0.50,3.97%,,-0.46,-105.20%,4.80%,21.60%,-39.60%,2347.70,-14.00,30.79,29.81,4.32%,3.43,1.29,-0.70%,-2.00%,0.70%,,0.31,0.32,49.90%,-0.90%,-0.60%,-11.83%,6.24%,-32.02%,5.36%,0.18%,13.30%,5.89%,-37.18%,0.31,114973,12.59,1.78%
7,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","-",4897.32,41.28,27.53,3.44,5.04,7.94,1958.93,,11.36,0.05,0.48,0.53%,24.60%,2.19,69.70%,17.00%,45.50%,99.10%,972.00,119.10,53.64,42.27,2.90%,3.42,1.23,14.70%,21.80%,16.10%,2.80,0.15,0.15,27.60%,15.20%,12.30%,10.68%,14.67%,74.11%,19.74%,-4.62%,-4.80%,17.86%,-13.54%,0.54,194942,90.19,0.31%
8,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.73,3.28%,,,,,,,,,,,,,,,,,,,,,,,-15.86%,-15.08%,,-26.19%,-1.88%,-5.12%,-15.05%,-29.36%,0.97,172275,22.31,-1.33%
9,"AAPU","Direxion Daily AAPL Bull 1.5X Shares","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.31,1.23%,,,,,,,,,,,,,,,,,,,,,,,26.49%,19.27%,,52.01%,2.72%,7.55%,18.75%,-8.16%,0.81,83963,25.31,1.89%
10,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","-",1143.89,23.19,25.29,7.73,2.67,0.94,13.10,,20.24,1.45,1.32,6.96%,157.80%,0.82,53.20%,6.10%,6.20%,53.10%,428.90,49.10,60.15,59.85,3.73%,3.50,2.23,1.60%,4.00%,4.00%,,1.39,1.39,63.60%,27.10%,11.50%,-25.46%,-32.06%,-42.60%,-28.42%,1.39%,4.16%,-23.27%,-44.66%,0.59,378390,18.97,0.64%
